X,Y,Long,Lat,Map_identi,MAP_UNIT_L,MAP_UNIT_N,G_MRG_U_L,GEO_GENL_U,AGE_NAME,TERRANE_GR,FORMATION,MEMBER,UNIT,G_ROCK_TYP,LITH_M_U_L,LITH_GEN_U,LTH_RK_TYP,LAYERING,CR_GRN_SIZ,GETEC_PROP,GN_LITH_TY
-123.317903813975917,45.644998583602465,591713.7306000000,1432180.7690000001,na,Tidb,Diabase,intr.E.cig.dlf.nd.nd.bas,intrusive rocks,Eocene,Coastal Intrusives Group,Diabase of Lee's Falls,No data,no data,basalt,no data,no data,no data,no data,no data,no data,plutonic
-123.317038601197709,45.639683664958959,591868.4172000000,1430236.1380000000,na,Tidb,Diabase,intr.E.cig.dlf.nd.nd.bas,intrusive rocks,Eocene,Coastal Intrusives Group,Diabase of Lee's Falls,No data,no data,basalt,no data,no data,no data,no data,no data,no data,plutonic
-123.31382443339983,45.635819823771079,592641.8502000000,1428799.7620000001,na,Tidb,Diabase,intr.E.cig.dlf.nd.nd.bas,intrusive rocks,Eocene,Coastal Intrusives Group,Diabase of Lee's Falls,No data,no data,basalt,no data,no data,no data,no data,no data,no data,plutonic
-123.315855325770613,45.633163706297694,592089.3980000000,1427849.5440000000,na,Tidb,Diabase,intr.E.cig.dlf.nd.nd.bas,intrusive rocks,Eocene,Coastal Intrusives Group,Diabase of Lee's Falls,No data,no data,basalt,no data,no data,no data,no data,no data,no data,plutonic
-123.317966056678515,45.632142738811716,591536.9459000000,1427495.9750000001,na,Tidb,Diabase,intr.E.cig.dlf.nd.nd.bas,intrusive rocks,Eocene,Coastal Intrusives Group,Diabase of Lee's Falls,No data,no data,basalt,no data,no data,no data,no data,no data,no data,plutonic
-123.325486918756425,45.648029298137658,589813.2953000000,1433351.9680000001,na,Tidb,Diabase,intr.E.cig.dlf.nd.nd.bas,intrusive rocks,Eocene,Coastal Intrusives Group,Diabase of Lee's Falls,No data,no data,basalt,no data,no data,no data,no data,no data,no data,plutonic
-123.307412914481489,45.656771027233439,594542.2854000001,1436379.4050000000,na,Ty,Yamhill Formation,srm.E.eyg.yhl.nd.nd.sms,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,no data,slope mudstone,no data,no data,no data,no data,no data,no data,sedimentary
-123.315260433185344,45.654581629683307,592509.2616000000,1435650.1690000000,na,Tidb,Diabase,intr.E.cig.dlf.nd.nd.bas,intrusive rocks,Eocene,Coastal Intrusives Group,Diabase of Lee's Falls,No data,no data,basalt,no data,no data,no data,no data,no data,no data,plutonic
-123.311751159671005,45.658849664341417,593459.4793000000,1437174.9360000000,na,Tidb,Diabase,intr.E.cig.dlf.nd.nd.bas,intrusive rocks,Eocene,Coastal Intrusives Group,Diabase of Lee's Falls,No data,no data,basalt,no data,no data,no data,no data,no data,no data,plutonic
-123.199991430893007,45.620640890206943,621564.2963000000,1422289.8870000001,Plate 2A,Tc,"Columbia River Basalt Group, undivided",vol.M.cr.nd.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,No data,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
-123.193902762708845,45.617931611154248,623089.0642000000,1421251.2770000000,Plate 2A,Tc,"Columbia River Basalt Group, undivided",vol.M.cr.nd.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,No data,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
-123.183231093172694,45.622542360845394,625873.4227000000,1422842.3380000000,Plate 2A,Qns,Nonmarine sedimentary deposits,sed.Q.qsd.mf.nd.nd.fine,sediments,Quaternary,Quaternary surficial deposits,Missoula Flood deposits,No data,no data,fine grained sediments,no data,no data,no data,no data,no data,no data,surficial sediments
-123.184618581068619,45.628209826827174,625586.1477000000,1424919.5580000000,Plate 2A,Tc,"Columbia River Basalt Group, undivided",vol.M.cr.nd.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,No data,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
-123.187225001877948,45.63221224336084,624967.4014000000,1426400.1310000001,Plate 2A,Tc,"Columbia River Basalt Group, undivided",vol.M.cr.nd.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,No data,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
-123.204357933154739,45.63266627508785,620591.9806000000,1426709.5040000000,Plate 2A,Tc,"Columbia River Basalt Group, undivided",vol.M.cr.nd.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,No data,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
-123.177504175498527,45.618308171965211,627287.7003000000,1421251.2770000000,Plate 2A,Tc,"Columbia River Basalt Group, undivided",vol.M.cr.nd.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,No data,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
-123.174605351278302,45.617283141604396,628016.9371000000,1420853.5120000001,Plate 2A,Qns,Nonmarine sedimentary deposits,sed.Q.qsd.mf.nd.nd.fine,sediments,Quaternary,Quaternary surficial deposits,Missoula Flood deposits,No data,no data,fine grained sediments,no data,no data,no data,no data,no data,no data,surficial sediments
-123.170431695614937,45.616711572498339,629077.6451000000,1420610.4330000000,Plate 2A,Qns,Nonmarine sedimentary deposits,sed.Q.qsd.mf.nd.nd.fine,sediments,Quaternary,Quaternary surficial deposits,Missoula Flood deposits,No data,no data,fine grained sediments,no data,no data,no data,no data,no data,no data,surficial sediments
-123.16621387170288,45.617050324501179,630160.4513000000,1420698.8250000000,Plate 2A,Qns,Nonmarine sedimentary deposits,sed.Q.qsd.mf.nd.nd.fine,sediments,Quaternary,Quaternary surficial deposits,Missoula Flood deposits,No data,no data,fine grained sediments,no data,no data,no data,no data,no data,no data,surficial sediments
-123.185010969154533,45.61067843059967,625276.7746000000,1418533.2130000000,Plate 2A,Tc,"Columbia River Basalt Group, undivided",vol.M.cr.nd.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,No data,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
-123.192896616299009,45.613043634837219,623287.9469000000,1419461.3330000001,Plate 2A,Qns,Nonmarine sedimentary deposits,sed.Q.qsd.mf.nd.nd.fine,sediments,Quaternary,Quaternary surficial deposits,Missoula Flood deposits,No data,no data,fine grained sediments,no data,no data,no data,no data,no data,no data,surficial sediments
-123.188219068697975,45.620184478592286,624569.6358000000,1422024.7100000000,Plate 2A,Tc,"Columbia River Basalt Group, undivided",vol.M.cr.nd.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,No data,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
-123.723693955129278,45.065512315934932,479697.2590000000,1224874.5200000000,na,Tn,Nestucca Formation,srm.E.nhg.nes.nd.nd.sms,marine sedimentary rocks,Eocene,Nestucca-Hamlet Group,Nestucca Formation,No data,no data,slope mudstone,no data,no data,no data,no data,no data,no data,sedimentary
-123.745220652412954,45.066245609107135,474150.6397000000,1225360.6790000000,na,Tn,Nestucca Formation,srm.E.nhg.nes.nd.nd.sms,marine sedimentary rocks,Eocene,Nestucca-Hamlet Group,Nestucca Formation,No data,no data,slope mudstone,no data,no data,no data,no data,no data,no data,sedimentary
-123.762374074046548,45.060728518415331,469642.6304000000,1223526.5370000000,Sheet 1 and 2,Ty,Yamhill Formation,srm.E.eyg.yhl.nd.nd.sms,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,no data,slope mudstone,no data,no data,no data,no data,no data,no data,sedimentary
-123.763407872517547,45.056270921680564,469311.1592000000,1221913.3780000000,Sheet 1 and 2,Ty,Yamhill Formation,srm.E.eyg.yhl.nd.nd.sms,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,no data,slope mudstone,no data,no data,no data,no data,no data,no data,sedimentary
-123.743668663623154,45.050698623543347,474327.4244000000,1219681.4700000000,na,Ty,Yamhill Formation,srm.E.eyg.yhl.nd.nd.sms,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,no data,slope mudstone,no data,no data,no data,no data,no data,no data,sedimentary
-123.707392507381428,45.058624867215833,483807.5027000000,1222200.6520000000,na,Tn,Nestucca Formation,srm.E.nhg.nes.nd.nd.sms,marine sedimentary rocks,Eocene,Nestucca-Hamlet Group,Nestucca Formation,No data,no data,slope mudstone,no data,no data,no data,no data,no data,no data,sedimentary
-123.704221811548237,45.060107886986728,484647.2300000000,1222708.9090000000,na,Tn,Nestucca Formation,srm.E.nhg.nes.nd.nd.sms,marine sedimentary rocks,Eocene,Nestucca-Hamlet Group,Nestucca Formation,No data,no data,slope mudstone,no data,no data,no data,no data,no data,no data,sedimentary
-123.748074549192722,45.079026164476367,473598.1876000000,1230045.4730000000,na,Tn,Nestucca Formation,srm.E.nhg.nes.nd.nd.sms,marine sedimentary rocks,Eocene,Nestucca-Hamlet Group,Nestucca Formation,No data,no data,slope mudstone,no data,no data,no data,no data,no data,no data,sedimentary
-123.757554702036359,45.075544767525024,471101.1040000000,1228874.2740000000,Sheet 1 and 2,Ty,Yamhill Formation,srm.E.eyg.yhl.nd.nd.sms,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,no data,slope mudstone,no data,no data,no data,no data,no data,no data,sedimentary
-123.769077989517271,45.073400166083772,468095.7645000000,1228211.3310000000,Sheet 1 and 2,Ty,Yamhill Formation,srm.E.eyg.yhl.nd.nd.sms,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,no data,slope mudstone,no data,no data,no data,no data,no data,no data,sedimentary
-120.610666502825765,44.314684726524519,1283375.9870000000,934859.7526000000,na,Tc,"lava flows, mudflows, and tuffs, chiefly of basaltic and andesitic composition",vol.EO.jdcl.cl.nd.nd.mix,volcanic rocks,Eocene/Oligocene,John Day/Clarno Group,Clarno Formation,No data,no data,mixed lithologies,vol.MIX.Lnd.CGnd.End,volcanic rocks,mixed lithologies,no data,no data,no data,volcanic
