X,Y,UNIQUE_ID,DATE,Map_identi,MAP_UNIT_L,MAP_UNIT_N,G_MRG_U_L,GEO_GENL_U,AGE_NAME,TERRANE_GR,FORMATION,MEMBER,UNIT,G_ROCK_TYP,LITH_M_U_L,LITH_GEN_U,LTH_RK_TYP,LAYERING,CR_GRN_SIZ,GETEC_PROP,GN_LITH_TY
906043.8666,1233590.598,LS_1158,6/10/09 0:00,na,Tlb,Little Butte Volcanic Series,vlc.OM.lbv.nd.nd.nd.mix,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,no data,mixed lithologies,no data,no data,no data,no data,no data,no data,volcanic
906524.8111,1233120.138,LS_1159,6/10/09 0:00,na,Tlb,Little Butte Volcanic Series,vlc.OM.lbv.nd.nd.nd.mix,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,no data,mixed lithologies,no data,no data,no data,no data,no data,no data,volcanic
906296.974399999948,1233016.695,LS_1160,6/10/09 0:00,na,Tlb,Little Butte Volcanic Series,vlc.OM.lbv.nd.nd.nd.mix,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,no data,mixed lithologies,no data,no data,no data,no data,no data,no data,volcanic
906367.094399999944,1232879.612,LS_1161,6/10/09 0:00,na,Tlb,Little Butte Volcanic Series,vlc.OM.lbv.nd.nd.nd.mix,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,no data,mixed lithologies,no data,no data,no data,no data,no data,no data,volcanic
906032.032499999972,1232685.405,LS_1162,6/10/09 0:00,na,Tlb,Little Butte Volcanic Series,vlc.OM.lbv.nd.nd.nd.mix,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,no data,mixed lithologies,no data,no data,no data,no data,no data,no data,volcanic
906948.0235,1228756.166,LS_1163,6/10/09 0:00,na,Qls,Landslide deposits,sed.Q.qsd.ls.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,no data,mixed grained sediments,no data,no data,no data,no data,no data,no data,surficial sediments
908019.393,1220582.466,LS_1164,6/10/09 0:00,na,Qls,Landslide deposits,sed.Q.qsd.ls.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,no data,mixed grained sediments,no data,no data,no data,no data,no data,no data,surficial sediments
856604.074799999944,1278898.263,LS_1165,6/10/09 0:00,sheet 1,Ta2,Tertiary andesitic rocks,vol.M.lwc.rho.nd.nd.and,volcanic rocks,Miocene,Late Western Cascade Volcanics,Rhododendron Formation,No data,no data,andesite,no data,no data,no data,no data,no data,no data,volcanic
1024276.025,1401246.831,LS_1168,6/18/09 0:00,Plate 1,Tgo,Member Of Ortley,vol.M.cr.gr.ort.nd.bnd,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,Member Of Ortley,no data,basaltic andesite,no data,no data,no data,no data,no data,no data,volcanic
391384.2646,480149.1094,LS_1175,3/16/10 0:00,na,Twbc,"White Tail Ridge Formation, Berry Creek member",srm.E.upg.wtr.brc.nd.dsd,marine sedimentary rocks,Eocene,Umpqua Group,White Tail Ridge Formation,Berry Creek member,no data,deltaic sandstone,no data,no data,no data,no data,no data,no data,sedimentary
1297603.017,945626.785299999989,LS_1195,6/22/09 0:00,na,Tc,"lava flows, mudflows, and tuffs, chiefly of basaltic and andesitic composition",vol.EO.jdcl.cl.nd.nd.mix,volcanic rocks,Eocene/Oligocene,John Day/Clarno Group,Clarno Formation,No data,no data,mixed lithologies,vol.MIX.Lnd.CGnd.End,volcanic rocks,mixed lithologies,no data,no data,no data,volcanic
615343.115699999966,1571211.218,LS_1220,8/23/10 0:00,na,Ts1,Scappoose Formation,srm.OM.asg.scp.nd.nd.shf,marine sedimentary rocks,Oligocene/Miocene,Astoria Group,Scappoose Formation,No data,no data,shelf sandstone,no data,no data,no data,no data,no data,no data,sedimentary
615553.872699999949,1571005.337,LS_1221,8/23/10 0:00,na,Tpb,"Pittsburg Bluff Formation, East Fork Member",srm.O.ypb.pbl.nd.nd.tfx,marine sedimentary rocks,Oligocene,Yaquina-Pittsburg Bluff Group,Pittsburg Bluff Formation,No data,no data,tuffaceous sedimentary rocks,no data,no data,no data,no data,no data,no data,sedimentary
615404.3926,1570771.168,LS_1222,8/23/10 0:00,na,Tpb,"Pittsburg Bluff Formation, East Fork Member",srm.O.ypb.pbl.nd.nd.tfx,marine sedimentary rocks,Oligocene,Yaquina-Pittsburg Bluff Group,Pittsburg Bluff Formation,No data,no data,tuffaceous sedimentary rocks,no data,no data,no data,no data,no data,no data,sedimentary
615432.100899999961,1570594.647,LS_1223,8/23/10 0:00,na,Tpb,"Pittsburg Bluff Formation, East Fork Member",srm.O.ypb.pbl.nd.nd.tfx,marine sedimentary rocks,Oligocene,Yaquina-Pittsburg Bluff Group,Pittsburg Bluff Formation,No data,no data,tuffaceous sedimentary rocks,no data,no data,no data,no data,no data,no data,sedimentary
615575.6322,1570430.163,LS_1224,8/23/10 0:00,na,Tpb,"Pittsburg Bluff Formation, East Fork Member",srm.O.ypb.pbl.nd.nd.tfx,marine sedimentary rocks,Oligocene,Yaquina-Pittsburg Bluff Group,Pittsburg Bluff Formation,No data,no data,tuffaceous sedimentary rocks,no data,no data,no data,no data,no data,no data,sedimentary
615546.1339,1570274.744,LS_1225,8/23/10 0:00,na,Tpb,"Pittsburg Bluff Formation, East Fork Member",srm.O.ypb.pbl.nd.nd.tfx,marine sedimentary rocks,Oligocene,Yaquina-Pittsburg Bluff Group,Pittsburg Bluff Formation,No data,no data,tuffaceous sedimentary rocks,no data,no data,no data,no data,no data,no data,sedimentary
615711.816299999948,1570057.879,LS_1227,8/23/10 0:00,na,Tpb,"Pittsburg Bluff Formation, East Fork Member",srm.O.ypb.pbl.nd.nd.tfx,marine sedimentary rocks,Oligocene,Yaquina-Pittsburg Bluff Group,Pittsburg Bluff Formation,No data,no data,tuffaceous sedimentary rocks,no data,no data,no data,no data,no data,no data,sedimentary
