X,Y,REF_ID_COD,UNIQUE_ID,DATE,MAP_UNIT_L,MAP_UNIT_N,G_MRG_U_L,GEO_GENL_U,AGE_NAME,TERRANE_GR,FORMATION,MEMBER,UNIT,G_ROCK_TYP,nlcd_2006_
1201659.432,1131235.327,ODOT2011,LS_59,1/4/06,Tcr,Basalt of Columbia River Group,vol.M.cr.gr.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,No data,no data,basalt,82
1201513.449,1130661.625,ODOT2011,LS_60,1/4/06,Tcr,Basalt of Columbia River Group,vol.M.cr.gr.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,No data,no data,basalt,42
1201251.936,1128329.841,ODOT2011,LS_61,1/5/06,Tcr,Basalt of Columbia River Group,vol.M.cr.gr.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,No data,no data,basalt,90
1201011.775,1127712.522,ODOT2011,LS_62,1/5/06,Tcr,Basalt of Columbia River Group,vol.M.cr.gr.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,No data,no data,basalt,82
1200816.576,1127042.874,ODOT2011,LS_63,1/5/06,Tcr,Basalt of Columbia River Group,vol.M.cr.gr.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,No data,no data,basalt,81
1196423.198,1110538.348,ODOT2011,LS_64,1/5/06,Qal,Alluvium,sed.Q.qsd.al.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,no data,mixed grained sediments,52
1190176.958,1101183.164,ODOT2011,LS_65,1/5/06,Tjt,John Day Formation,vlc.EO.jdcl.jd.nd.nd.tff,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,tuff,90
1186169.579,1097405.196,ODOT2011,LS_66,1/5/06,Tcr,Basalt of Columbia River Group,vol.M.cr.gr.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,No data,no data,basalt,52
1185441.549,1097833.713,ODOT2011,LS_67,1/5/06,Tcr,Basalt of Columbia River Group,vol.M.cr.gr.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,No data,no data,basalt,82
1185422.196,1097903.003,ODOT2011,LS_68,1/5/06,Tcr,Basalt of Columbia River Group,vol.M.cr.gr.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,No data,no data,basalt,82
1184238.118,1098481.325,ODOT2011,LS_69,1/5/06,Tcr,Basalt of Columbia River Group,vol.M.cr.gr.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,No data,no data,basalt,52
946923.5449,339163.7959,ODOT2011,LS_70,11/7/07,Qhil,Quaternary basaltic andesite of Hilltop Reservoir,vol.Pl.qwv.nd.nd.nd.bnd,volcanic rocks,Pleistocene,Quaternary Winema Volcanic Field,No data,No data,no data,basaltic andesite,0
946692.8251,338171.0515,ODOT2011,LS_71,11/7/07,QTs,Quaternary/Tertiary sedimentary deposits,srt.PPl.wvf.nd.nd.nd.mix,terrestrial sedimentary rocks,Pliocene/Pleistocene,Winema Volcanic Field,No data,No data,no data,mixed grained sediments,0
946199.501,337378.5823,ODOT2011,LS_72,11/7/07,QTs,Quaternary/Tertiary sedimentary deposits,srt.PPl.wvf.nd.nd.nd.mix,terrestrial sedimentary rocks,Pliocene/Pleistocene,Winema Volcanic Field,No data,No data,no data,mixed grained sediments,0
945418.4728,336915.5617,ODOT2011,LS_73,11/7/07,Qc,Quaternary colluvium and talus,sed.Q.qsd.col.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Colluvial deposits,No data,no data,mixed grained sediments,0
943555.9977,336705.435,ODOT2011,LS_74,10/3/07,QTs,Quaternary/Tertiary sedimentary deposits,srt.PPl.wvf.nd.nd.nd.mix,terrestrial sedimentary rocks,Pliocene/Pleistocene,Winema Volcanic Field,No data,No data,no data,mixed grained sediments,0
947164.0876,249473.5991,ODOT2011,LS_75,11/6/07,Qc,Quaternary colluvium and talus,sed.Q.qsd.col.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Colluvial deposits,No data,no data,mixed grained sediments,0
947831.3678,248405.7746,ODOT2011,LS_76,11/6/07,Qvs,Quaternary valley sediment deposits,srt.PPl.qwv.nd.nd.nd.mix,terrestrial sedimentary rocks,Pliocene/Pleistocene,Quaternary Winema Volcanic Field,No data,No data,no data,mixed grained sediments,0
950852.6447,245304.1115,ODOT2011,LS_77,11/6/07,Qc,Quaternary colluvium and talus,sed.Q.qsd.col.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Colluvial deposits,No data,no data,mixed grained sediments,0
952315.6119,243302.1099,ODOT2011,LS_78,11/6/07,Qc,Quaternary colluvium and talus,sed.Q.qsd.col.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Colluvial deposits,No data,no data,mixed grained sediments,0
955003.3707,239306.3501,ODOT2011,LS_79,11/6/07,Thag,Pliocene andesite of Hagelstein Park,vol.P.wvf.nd.nd.nd.and,volcanic rocks,Pliocene,Winema Volcanic Field,No data,No data,no data,andesite,0
956174.7234,236603.6381,ODOT2011,LS_80,11/6/07,Thag,Pliocene andesite of Hagelstein Park,vol.P.wvf.nd.nd.nd.and,volcanic rocks,Pliocene,Winema Volcanic Field,No data,No data,no data,andesite,0
956827.7028,235359.7759,ODOT2011,LS_81,11/6/07,Thag,Pliocene andesite of Hagelstein Park,vol.P.wvf.nd.nd.nd.and,volcanic rocks,Pliocene,Winema Volcanic Field,No data,No data,no data,andesite,0
953347.4564,218429.9708,ODOT2011,LS_82,11/6/07,Thv,Tertiary hydrovolcanic deposits,vlc.MP.wvf.nd.nd.nd.plg,volcaniclastic rocks,Miocene/Pliocene,Winema Volcanic Field,No data,No data,no data,palagonite tuff,0
955359.3599,215491.5945,ODOT2011,LS_83,11/6/07,Hmf,Holocene man-made fill deposits,sed.R.qsd.mmf.nd.nd.mix,sediments,Recent,Quaternary surficial deposits,Man-made fill deposits,No data,no data,mixed grained sediments,0
955838.0502,202877.4314,ODOT2011,LS_84,11/6/07,Qbal,Quaternary basaltic andesite of Bald Hill,vol.Pl.lhc.nd.nd.nd.bnd,volcanic rocks,Pleistocene,Late High Cascade Volcanics,No data,No data,no data,basaltic andesite,0
958620.251,189064.8819,ODOT2011,LS_85,11/6/07,Ts,Tertiary sedimentary deposits,srt.MP.wvf.nd.nd.nd.mix,terrestrial sedimentary rocks,Miocene/Pliocene,Winema Volcanic Field,No data,No data,no data,mixed grained sediments,0
961761.6647,177125.4442,ODOT2011,LS_86,11/6/07,Ts,Tertiary sedimentary deposits,srt.MP.wvf.nd.nd.nd.mix,terrestrial sedimentary rocks,Miocene/Pliocene,Winema Volcanic Field,No data,No data,no data,mixed grained sediments,
962576.351,174931.268,ODOT2011,LS_87,11/6/07,Tklf,Pliocene basaltic andesite and basalt trachyandesite of Klamath Falls,vol.P.wvf.nd.nd.nd.bta,volcanic rocks,Pliocene,Winema Volcanic Field,No data,No data,no data,basalt trachyandesite,
1448762.026,1113715.483,ODOT2011,LS_88,11/29/07,Tcr,Basalt of Columbia River Group,vol.M.cr.nd.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,No data,No data,no data,basalt,0
1456629.033,1114668.312,ODOT2011,LS_89,11/29/07,Tcr,Basalt of Columbia River Group,vol.M.cr.nd.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,No data,No data,no data,basalt,0
